"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1990",0,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1991",552.615,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1992",748.458,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1993",762.231,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1994",794.642,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1995",835.256,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1996",900.375,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1997",895.847,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1998",890.936,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","1999",1030.494,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2000",969.216,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2001",1013.069,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2002",1046.943,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2003",1291.64,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2004",1198.86,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2005",1177.305,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2006",1423.507,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2007",1505.964,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2008",1524.596,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2009",1484.984,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2010",1544.08,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2011",1492.185,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2012",1551.449,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2013",1633.671,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2014",1665.412,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2015",1819.203,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2016",1901.912,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2017",1934.821,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2018",2007.746,
"KOR","MEATCONSUMP","PIG","THND_TONNE","A","2019",2050.906,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1990",83.792,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1991",86.252,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1992",88.305,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1993",92.374,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1994",95.663,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1995",100.768,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1996",107.141,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1997",101.739,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1998",107.053,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","1999",99.821,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2000",103.936,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2001",110.08,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2002",105.393,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2003",109.385,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2004",113.505,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2005",117.649,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2006",116.148,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2007",125.926,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2008",124.638,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2009",123.848,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2010",127.891,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2011",131.952,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2012",131.25,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2013",129.326,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2014",131.882,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2015",139.767,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2016",142.106,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2017",141.654,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2018",143.537,
"NOR","MEATCONSUMP","PIG","THND_TONNE","A","2019",145.023,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1990",336.01,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1991",400.503,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1992",432.791,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1993",457.627,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1994",487.9,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1995",486.05,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1996",509.64,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1997",530.495,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1998",463.712,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","1999",450.025,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2000",685.529,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2001",687.819,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2002",770.875,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2003",852.624,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2004",863.707,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2005",896.29,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2006",975.404,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2007",990.664,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2008",879.579,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2009",855.298,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2010",879.673,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2011",859.597,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2012",923.645,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2013",941.23,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2014",923.449,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2015",913.002,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2016",895.96,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2017",882.611,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2018",878.045,
"THA","MEATCONSUMP","PIG","THND_TONNE","A","2019",876.4,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1990",1.05,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1991",1.1,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1992",1.15,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1993",1.15,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1994",1.155,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1995",1.212,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1996",1.267,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1997",1.322,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1998",1.397,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","1999",1.455,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2000",1.466,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2001",1.553,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2002",1.495,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2003",1.663,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2004",1.65,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2005",1.703,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2006",1.767,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2007",1.73,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2008",1.729,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2009",1.685,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2010",1.818,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2011",1.894,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2012",1.927,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2013",2.012,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2014",2.534,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2015",2.073,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2016",2.082,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2017",2.048,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2018",2.048,
"ETH","MEATCONSUMP","PIG","THND_TONNE","A","2019",2.048,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1990",9.176,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1991",9.337,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1992",9.265,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1993",8.685,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1994",8.691,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1995",10.241,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1996",10.405,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1997",11.819,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1998",11.827,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","1999",8.588,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2000",14.774,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2001",15.676,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2002",16.42,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2003",17.374,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2004",17.943,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2005",18.548,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2006",17.401,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2007",18.136,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2008",18.012,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2009",19.378,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2010",18.696,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2011",18.555,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2012",19.196,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2013",16.067,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2014",15.394,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2015",15.471,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2016",15.745,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2017",14.444,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2018",14.646,
"ISR","MEATCONSUMP","PIG","THND_TONNE","A","2019",14.646,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1990",286,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1991",274,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1992",221.2,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1993",196.712,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1994",156.826,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1995",108.9,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1996",108.392,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1997",84.284,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1998",82.335,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","1999",97.379,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2000",86.318,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2001",117.444,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2002",116.504,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2003",112.702,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2004",122.954,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2005",124.202,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2006",129.434,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2007",132.282,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2008",146.669,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2009",138.687,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2010",138.435,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2011",150.522,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2012",150.429,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2013",145.232,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2014",137.818,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2015",126.538,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2016",121.05,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2017",123.308,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2018",113.454,
"KAZ","MEATCONSUMP","PIG","THND_TONNE","A","2019",112.1,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1990",712.404,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1991",690.523,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1992",807.69,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1993",858.3,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1994",945.138,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1995",1000.681,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1996",1047.484,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1997",1089.498,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1998",1161.425,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","1999",1248.972,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2000",1404.531,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2001",1487.739,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2002",1639.938,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2003",1786.104,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2004",2268.723,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2005",2277.456,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2006",2597.806,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2007",2564.975,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2008",2786.974,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2009",3062.346,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2010",3047.922,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2011",3117.908,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2012",3213.08,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2013",3362.623,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2014",3518.102,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2015",3580.12,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2016",3669.954,
"VNM","MEATCONSUMP","PIG","THND_TONNE","A","2017",3736.858,
